Seção	Divisão	Grupo	Classe	Subclasse 2.3	Denominação	Até 200 m2	De 200 m2 a 400 m2	acima de 400 m2
				0133-4/03	Cultivo de caju	Alto	Alto	Alto
				0133-4/04	Cultivo de cítricos, exceto laranja	Alto	Alto	Alto
				0133-4/05	Cultivo de coco-da-baía	Alto	Alto	Alto
				0133-4/06	Cultivo de guaraná	Alto	Alto	Alto
				0133-4/07	Cultivo de maçã	Alto	Alto	Alto
				0133-4/08	Cultivo de mamão	Alto	Alto	Alto
				0133-4/09	Cultivo de maracujá	Alto	Alto	Alto
				0133-4/10	Cultivo de manga	Alto	Alto	Alto
				0133-4/11	Cultivo de pêssego	Alto	Alto	Alto
				0133-4/99	Cultivo de frutas de lavoura permanente não especificadas anteriormente	Alto	Alto	Alto
			01.34-2		Cultivo de café			
				0134-2/00	Cultivo de café	Alto	Alto	Alto
			01.35-1		Cultivo de cacau			
				0135-1/00	Cultivo de cacau	Alto	Alto	Alto
			01.39-3		Cultivo de plantas de lavoura permanente não especificadas anteriormente			
				0139-3/01	Cultivo de chá-da-índia	Alto	Alto	Alto
				0139-3/02	Cultivo de erva-mate	Alto	Alto	Alto
				0139-3/03	Cultivo de pimenta-do-reino	Alto	Alto	Alto
				0139-3/04	Cultivo de plantas para condimento, exceto pimenta-do-reino	Alto	Alto	Alto
				0139-3/05	Cultivo de dendê	Alto	Alto	Alto
				0139-3/06	Cultivo de seringueira	Alto	Alto	Alto
				0139-3/99	Cultivo de outras plantas de lavoura permanente não especificadas anteriormente	Alto	Alto	Alto
		01.4			Produção de sementes e mudas certificadas			
			01.41-5		Produção de sementes certificadas			
				0141-5/01	Produção de sementes certificadas, exceto de forrageiras para pasto	Alto	Alto	Alto
				0141-5/02	Produção de sementes certificadas de forrageiras para formação de pasto	Alto	Alto	Alto
			01.42-3		Produção de mudas e outras formas de propagação vegetal, certificadas			
				0142-3/00	Produção de mudas e outras formas de propagação vegetal, certificadas	Alto	Alto	Alto
		01.5			Pecuária			
			01.51-2		Criação de bovinos			
				0151-2/01	Criação de bovinos para corte	Alto	Alto	Alto
				0151-2/02	Criação de bovinos para leite	Alto	Alto	Alto
				0151-2/03	Criação de bovinos, exceto para corte e leite	Alto	Alto	Alto
			01.52-1		Criação de outros animais de grande porte			
				0152-1/01	Criação de bufalinos	Alto	Alto	Alto
				0152-1/02	Criação de equinos	Alto	Alto	Alto
				0152-1/03	Criação de asininos e muares	Alto	Alto	Alto
			01.53-9		Criação de caprinos e ovinos			
				0153-9/01	Criação de caprinos	Alto	Alto	Alto
				0153-9/02	Criação de ovinos, inclusive para produção de lã	Alto	Alto	Alto
			01.54-7		Criação de suínos			
				0154-7/00	Criação de suínos	Alto	Alto	Alto
			01.55-5		Criação de aves			
				0155-5/01	Criação de frangos para corte	Alto	Alto	Alto
				0155-5/02	Produção de pintos de um dia	Alto	Alto	Alto
				0155-5/03	Criação de outros galináceos, exceto para corte	Alto	Alto	Alto
				0155-5/04	Criação de aves, exceto galináceos	Alto	Alto	Alto
				0155-5/05	Produção de ovos	Alto	Alto	Alto
			01.59-8		Criação de animais não especificados anteriormente			
				0159-8/01	Apicultura	Alto	Alto	Alto
				0159-8/02	Criação de animais de estimação	Alto	Alto	Alto
				0159-8/03	Criação de escargô	Alto	Alto	Alto
				0159-8/04	Criação de bicho-da-seda	Alto	Alto	Alto
				0159-8/99	Criação de outros animais não especificados anteriormente	Alto	Alto	Alto
		01.6			Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita			
			01.61-0		Atividades de apoio à agricultura			
				0161-0/01	Serviço de pulverização e controle de pragas agrícolas	Alto	Alto	Alto
				0161-0/02	Serviço de poda de árvores para lavouras	Baixo	Médio	Alto
				0161-0/03	Serviço de preparação de terreno, cultivo e colheita	Baixo	Médio	Alto
				0161-0/99	Atividades de apoio à agricultura não especificadas anteriormente	Baixo	Médio	Alto
			01.62-8		Atividades de apoio à pecuária			
				0162-8/01	Serviço de inseminação artificial em animais	Baixo	Médio	Alto
				0162-8/02	Serviço de tosquiamento de ovinos	Baixo	Médio	Alto
				0162-8/03	Serviço de manejo de animais	Baixo	Médio	Alto
				0162-8/99	Atividades de apoio à pecuária não especificadas anteriormente	Baixo	Médio	Alto
			01.63-6		Atividades de pós-colheita			
				0163-6/00	Atividades de pós-colheita	Alto	Alto	Alto
		01.7			Caça e serviços relacionados			
			01.70-9		Caça e serviços relacionados			
				0170-9/00	Caça e serviços relacionados	Alto	Alto	Alto
	02				PRODUÇÃO FLORESTAL			
		02.1			Produção florestal - florestas plantadas			
			02.10-1		Produção florestal - florestas plantadas			
				0210-1/01	Cultivo de eucalipto	Alto	Alto	Alto
				0210-1/02	Cultivo de acácia-negra	Alto	Alto	Alto
				0210-1/03	Cultivo de pinus	Alto	Alto	Alto
				0210-1/04	Cultivo de teca	Alto	Alto	Alto
				0210-1/05	Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca	Alto	Alto	Alto
				0210-1/06	Cultivo de mudas em viveiros florestais	Alto	Alto	Alto
				0210-1/07	Extração de madeira em florestas plantadas	Alto	Alto	Alto
				0210-1/08	Produção de carvão vegetal - florestas plantadas	Alto	Alto	Alto
				0210-1/09	Produção de casca de acácia-negra - florestas plantadas	Alto	Alto	Alto
				0210-1/99	Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas	Alto	Alto	Alto
		02.2			Produção florestal - florestas nativas			
			02.20-9		Produção florestal - florestas nativas			
				0220-9/01	Extração de madeira em florestas nativas	Alto	Alto	Alto
				0220-9/02	Produção de carvão vegetal - florestas nativas	Alto	Alto	Alto
				0220-9/03	Coleta de castanha-do-pará em florestas nativas	Alto	Alto	Alto
				0220-9/04	Coleta de látex em florestas nativas	Alto	Alto	Alto
				0220-9/05	Coleta de palmito em florestas nativas	Alto	Alto	Alto
				0220-9/06	Conservação de florestas nativas	Alto	Alto	Alto
				0220-9/99	Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas	Alto	Alto	Alto
		02.3			Atividades de apoio à produção florestal			
			02.30-6		Atividades de apoio à produção florestal			
				0230-6/00	Atividades de apoio à produção florestal	Baixo	Médio	Alto
	03				PESCA E AQÜICULTURA			
		03.1			Pesca			
			03.11-6		Pesca em água salgada			
				0311-6/01	Pesca de peixes em água salgada	Alto	Alto	Alto
				0311-6/02	Pesca de crustáceos e moluscos em água salgada	Alto	Alto	Alto
				0311-6/03	Coleta de outros produtos marinhos	Alto	Alto	Alto
				0311-6/04	Atividades de apoio à pesca em água salgada	Alto	Alto	Alto
			03.12-4		Pesca em água doce			
				0312-4/01	Pesca de peixes em água doce	Alto	Alto	Alto
				0312-4/02	Pesca de crustáceos e moluscos em água doce	Alto	Alto	Alto
				0312-4/03	Coleta de outros produtos aquáticos de água doce	Alto	Alto	Alto
				0312-4/04	Atividades de apoio à pesca em água doce	Baixo	Médio	Alto
		03.2			Aquicultura			
			03.21-3		Aquicultura em água salgada e salobra			
				0321-3/01	Criação de peixes em água salgada e salobra	Alto	Alto	Alto
				0321-3/02	Criação de camarões em água salgada e salobra	Alto	Alto	Alto
				0321-3/03	Criação de ostras e mexilhões em água salgada e salobra	Alto	Alto	Alto
				0321-3/04	Criação de peixes ornamentais em água salgada e salobra	Alto	Alto	Alto
				0321-3/05	Atividades de apoio à aquicultura em água salgada e salobra	Baixo	Médio	Alto
				0321-3/99	Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente	Alto	Alto	Alto
			03.22-1		Aquicultura em água doce			
				0322-1/01	Criação de peixes em água doce	Alto	Alto	Alto
				0322-1/02	Criação de camarões em água doce	Alto	Alto	Alto
				0322-1/03	Criação de ostras e mexilhões em água doce	Alto	Alto	Alto
				0322-1/04	Criação de peixes ornamentais em água doce	Alto	Alto	Alto
				0322-1/05	Ranicultura	Alto	Alto	Alto
				0322-1/06	Criação de jacaré	Alto	Alto	Alto
				0322-1/07	Atividades de apoio à aquicultura em água doce	Baixo	Médio	Alto
				0322-1/99	Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente	Alto	Alto	Alto
B					INDÚSTRIAS EXTRATIVAS			
	05				EXTRAÇÃO DE CARVÃO MINERAL			
		05.0			Extração de carvão mineral			
			05.00-3		Extração de carvão mineral			
				0500-3/01	Extração de carvão mineral	Alto	Alto	Alto
				0500-3/02	Beneficiamento de carvão mineral	Alto	Alto	Alto
	06				EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL			
		06.0			Extração de petróleo e gás natural			
			06.00-0		Extração de petróleo e gás natural			
				0600-0/01	Extração de petróleo e gás natural	Alto	Alto	Alto
				0600-0/02	Extração e beneficiamento de xisto	Alto	Alto	Alto
				0600-0/03	Extração e beneficiamento de areias betuminosas	Alto	Alto	Alto
	07				EXTRAÇÃO DE MINERAIS METÁLICOS			
		07.1			Extração de minério de ferro			
			07.10-3		Extração de minério de ferro			
				0710-3/01	Extração de minério de ferro	Alto	Alto	Alto
				0710-3/02	Pelotização, sinterização e outros beneficiamentos de minério de ferro	Alto	Alto	Alto
		07.2			Extração de minerais metálicos não ferrosos			
			07.21-9		Extração de minério de alumínio			
				0721-9/01	Extração de minério de alumínio	Alto	Alto	Alto
				0721-9/02	Beneficiamento de minério de alumínio	Alto	Alto	Alto
			07.22-7		Extração de minério de estanho			
				0722-7/01	Extração de minério de estanho	Alto	Alto	Alto
				0722-7/02	Beneficiamento de minério de estanho	Alto	Alto	Alto
			07.23-5		Extração de minério de manganês			
				0723-5/01	Extração de minério de manganês	Alto	Alto	Alto
				0723-5/02	Beneficiamento de minério de manganês	Alto	Alto	Alto
			07.24-3		Extração de minério de metais preciosos			
				0724-3/01	Extração de minério de metais preciosos	Alto	Alto	Alto
				0724-3/02	Beneficiamento de minério de metais preciosos	Alto	Alto	Alto
			07.25-1		Extração de minerais radioativos			
				0725-1/00	Extração de minerais radioativos	Alto	Alto	Alto
			07.29-4		Extração de minerais metálicos não ferrosos não especificados anteriormente			
				0729-4/01	Extração de minérios de nióbio e titânio	Alto	Alto	Alto
				0729-4/02	Extração de minério de tungstênio	Alto	Alto	Alto
				0729-4/03	Extração de minério de níquel	Alto	Alto	Alto
				0729-4/04	Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente	Alto	Alto	Alto
				0729-4/05	Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente	Alto	Alto	Alto
	08				EXTRAÇÃO DE MINERAIS NÃO METÁLICOS			
		08.1			Extração de pedra, areia e argila			
			08.10-0		Extração de pedra, areia e argila			
				0810-0/01	Extração de ardósia e beneficiamento associado	Alto	Alto	Alto
				0810-0/02	Extração de granito e beneficiamento associado	Alto	Alto	Alto
				0810-0/03	Extração de mármore e beneficiamento associado	Alto	Alto	Alto
				0810-0/04	Extração de calcário e dolomita e beneficiamento associado	Alto	Alto	Alto
				0810-0/05	Extração de gesso e caulim	Alto	Alto	Alto
				0810-0/06	Extração de areia, cascalho ou pedregulho e beneficiamento associado	Alto	Alto	Alto
				0810-0/07	Extração de argila e beneficiamento associado	Alto	Alto	Alto
				0810-0/08	Extração de saibro e beneficiamento associado	Alto	Alto	Alto
				0810-0/09	Extração de bas e beneficiamento associado	Alto	Alto	Alto
				0810-0/10	Beneficiamento de gesso e caulim associado à extração	Alto	Alto	Alto
				0810-0/99	Extração e britamento de pedras e outros materiais para construção e beneficiamento associado	Alto	Alto	Alto
		08.9			Extração de outros minerais não metálicos			
			08.91-6		Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos			
				0891-6/00	Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos	Alto	Alto	Alto
			08.92-4		Extração e refino de sal marinho e sal-gema			
				0892-4/01	Extração de sal marinho	Alto	Alto	Alto
				0892-4/02	Extração de sal-gema	Alto	Alto	Alto
				0892-4/03	Refino e outros tratamentos do sal	Alto	Alto	Alto
			08.93-2		Extração de gemas (pedras preciosas e semipreciosas)			
				0893-2/00	Extração de gemas (pedras preciosas e semipreciosas)	Alto	Alto	Alto
			08.99-1		Extração de minerais não metálicos não especificados anteriormente			
				0899-1/01	Extração de grafita	Alto	Alto	Alto
				0899-1/02	Extração de quartzo	Alto	Alto	Alto
				0899-1/03	Extração de amianto	Alto	Alto	Alto
				0899-1/99	Extração de outros minerais não metálicos não especificados anteriormente	Alto	Alto	Alto
	09				ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS			
		09.1			Atividades de apoio à extração de petróleo e gás natural			
			09.10-6		Atividades de apoio à extração de petróleo e gás natural			
				0910-6/00	Atividades de apoio à extração de petróleo e gás natural	Baixo	Médio	Alto
		09.9			Atividades de apoio à extração de minerais, exceto petróleo e gás natural			
			09.90-4		Atividades de apoio à extração de minerais, exceto petróleo e gás natural			
				0990-4/01	Atividades de apoio à extração de minério de ferro	Baixo	Médio	Alto
				0990-4/02	Atividades de apoio à extração de minerais metálicos não ferrosos	Baixo	Médio	Alto
				0990-4/03	Atividades de apoio à extração de minerais não metálicos	Baixo	Médio	Alto
C					INDÚSTRIAS DE TRANSFORMAÇÃO			
	10				FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS			
		10.1			Abate e fabricação de produtos de carne			
			10.11-2		Abate de reses, exceto suínos			
				1011-2/01	Frigorífico - abate de bovinos	Alto	Alto	Alto
				1011-2/02	Frigorífico - abate de equinos	Alto	Alto	Alto
				1011-2/03	Frigorífico - abate de ovinos e caprinos	Alto	Alto	Alto
				1011-2/04	Frigorífico - abate de bufalinos	Alto	Alto	Alto
				1011-2/05	Matadouro - abate de reses sob contrato, exceto abate de suínos	Alto	Alto	Alto
			10.12-1		Abate de suínos, aves e outros pequenos animais			
				1012-1/01	Abate de aves	Alto	Alto	Alto
				1012-1/02	Abate de pequenos animais	Alto	Alto	Alto
				1012-1/03	Frigorífico - abate de suínos	Alto	Alto	Alto
				1012-1/04	Matadouro - abate de suínos sob contrato	Alto	Alto	Alto
			10.13-9		Fabricação de produtos de carne			
				1013-9/01	Fabricação de produtos de carne	Médio	Alto	Alto
				1013-9/02	Preparação de subprodutos do abate	Médio	Médio	Alto
		10.2			Preservação do pescado e fabricação de produtos do pescado			
			10.20-1		Preservação do pescado e fabricação de produtos do pescado			
				1020-1/01	Preservação de peixes, crustáceos e moluscos	Médio	Alto	Alto
				1020-1/02	Fabricação de conservas de peixes, crustáceos e moluscos	Médio	Alto	Alto
		10.3			Fabricação de conservas de frutas, legumes e outros vegetais			
			10.31-7		Fabricação de conservas de frutas			
				1031-7/00	Fabricação de conservas de frutas	Médio	Alto	Alto
			10.32-5		Fabricação de conservas de legumes e outros vegetais			
				1032-5/01	Fabricação de conservas de palmito	Médio	Alto	Alto
				1032-5/99	Fabricação de conservas de legumes e outros vegetais, exceto palmito	Médio	Alto	Alto
			10.33-3		Fabricação de sucos de frutas, hortaliças e legumes			
				1033-3/01	Fabricação de sucos concentrados de frutas, hortaliças e legumes	Médio	Alto	Alto
				1033-3/02	Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados	Médio	Alto	Alto
		10.4			Fabricação de óleos e gorduras vegetais e animais			
			10.41-4		Fabricação de óleos vegetais em bruto, exceto óleo de milho			
				1041-4/00	Fabricação de óleos vegetais em bruto, exceto óleo de milho	Médio	Alto	Alto
			10.42-2		Fabricação de óleos vegetais refinados, exceto óleo de milho			
				1042-2/00	Fabricação de óleos vegetais refinados, exceto óleo de milho	Médio	Alto	Alto
			10.43-1		Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais			
				1043-1/00	Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais	Médio	Alto	Alto
		10.5			Laticínios			
			10.51-1		Preparação do leite			
				1051-1/00	Preparação do leite	Médio	Médio	Alto
			10.52-0		Fabricação de laticínios			
				1052-0/00	Fabricação de laticínios	Médio	Alto	Alto
			10.53-8		Fabricação de sorvetes e outros gelados comestíveis			
				1053-8/00	Fabricação de sorvetes e outros gelados comestíveis	Médio	Alto	Alto
		10.6			Moagem, fabricação de produtos amiláceos e de alimentos para animais			
			10.61-9		Beneficiamento de arroz e fabricação de produtos do arroz			
				1061-9/01	Beneficiamento de arroz	Médio	Médio	Alto
				1061-9/02	Fabricação de produtos do arroz	Médio	Alto	Alto
			10.62-7		Moagem de trigo e fabricação de derivados			
				1062-7/00	Moagem de trigo e fabricação de derivados	Médio	Médio	Alto
			10.63-5		Fabricação de farinha de mandioca e derivados			
				1063-5/00	Fabricação de farinha de mandioca e derivados	Médio	Alto	Alto
			10.64-3		Fabricação de farinha de milho e derivados, exceto óleos de milho			
				1064-3/00	Fabricação de farinha de milho e derivados, exceto óleos de milho	Médio	Alto	Alto
			10.65-1		Fabricação de amidos e féculas de vegetais e de óleos de milho			
				1065-1/01	Fabricação de amidos e féculas de vegetais	Médio	Alto	Alto
				1065-1/02	Fabricação de óleo de milho em bruto	Médio	Alto	Alto
				1065-1/03	Fabricação de óleo de milho refinado	Médio	Alto	Alto
			10.66-0		Fabricação de alimentos para animais			
				1066-0/00	Fabricação de alimentos para animais	Médio	Alto	Alto
			10.69-4		Moagem e fabricação de produtos de origem vegetal não especificados anteriormente			
				1069-4/00	Moagem e fabricação de produtos de origem vegetal não especificados anteriormente	Médio	Médio	Alto
		10.7			Fabricação e refino de açúcar			
			10.71-6		Fabricação de açúcar em bruto			
				1071-6/00	Fabricação de açúcar em bruto	Médio	Alto	Alto
			10.72-4		Fabricação de açúcar refinado			
				1072-4/01	Fabricação de açúcar de cana refinado	Médio	Alto	Alto
				1072-4/02	Fabricação de açúcar de cereais (dextrose) e de beterraba	Médio	Alto	Alto
		10.8			Torrefação e moagem de café			
			10.81-3		Torrefação e moagem de café			
				1081-3/01	Beneficiamento de café	Médio	Médio	Alto
				1081-3/02	Torrefação e moagem de café	Médio	Médio	Alto
			10.82-1		Fabricação de produtos à base de café			
				1082-1/00	Fabricação de produtos à base de café	Médio	Alto	Alto
		10.9			Fabricação de outros produtos alimentícios			
			10.91-1		Fabricação de produtos de panificação			
				1091-1/01	Fabricação de produtos de panificação industrial	Médio	Alto	Alto
				1091-1/02	Fabricação de produtos de padaria e confeitaria com predominância de produção própria	Médio	Alto	Alto
			10.92-9		Fabricação de biscoitos e bolachas			
				1092-9/00	Fabricação de biscoitos e bolachas	Médio	Alto	Alto
			10.93-7		Fabricação de produtos derivados do cacau, de chocolates e confeitos			
				1093-7/01	Fabricação de produtos derivados do cacau e de chocolates	Médio	Alto	Alto
				1093-7/02	Fabricação de frutas cristalizadas, balas e semelhantes	Médio	Alto	Alto
			10.94-5		Fabricação de massas alimentícias			
				1094-5/00	Fabricação de massas alimentícias	Médio	Alto	Alto
			10.95-3		Fabricação de especiarias, molhos, temperos e condimentos			
				1095-3/00	Fabricação de especiarias, molhos, temperos e condimentos	Médio	Alto	Alto
			10.96-1		Fabricação de alimentos e pratos prontos			
				1096-1/00	Fabricação de alimentos e pratos prontos	Médio	Alto	Alto
			10.99-6		Fabricação de produtos alimentícios não especificados anteriormente			
				1099-6/01	Fabricação de vinagres	Médio	Alto	Alto
				1099-6/02	Fabricação de pós-alimentícios	Médio	Alto	Alto
				1099-6/03	Fabricação de fermentos e leveduras	Médio	Alto	Alto
				1099-6/04	Fabricação de gelo comum	Alto	Alto	Alto
				1099-6/05	Fabricação de produtos para infusão (chá, mate, etc.)	Médio	Alto	Alto
				1099-6/06	Fabricação de adoçantes naturais e artificiais	Médio	Alto	Alto
				1099-6/07	Fabricação de alimentos dietéticos e complementos alimentares	Médio	Alto	Alto
				1099-6/99	Fabricação de outros produtos alimentícios não especificados anteriormente	Médio	Alto	Alto
	11				FABRICAÇÃO DE BEBIDAS			
		11.1			Fabricação de bebidas alcoólicas			
			11.11-9		Fabricação de aguardentes e outras bebidas destiladas			
				1111-9/01	Fabricação de aguardente de cana-de-açúcar	Médio	Alto	Alto
				1111-9/02	Fabricação de outras aguardentes e bebidas destiladas	Médio	Alto	Alto
			11.12-7		Fabricação de vinho			
				1112-7/00	Fabricação de vinho	Médio	Alto	Alto
			11.13-5		Fabricação de malte, cervejas e chopes			
				1113-5/01	Fabricação de malte, inclusive malte uísque	Médio	Alto	Alto
				1113-5/02	Fabricação de cervejas e chopes	Médio	Alto	Alto
		11.2			Fabricação de bebidas não alcoólicas			
			11.21-6		Fabricação de águas envasadas			
				1121-6/00	Fabricação de águas envasadas	Médio	Alto	Alto
			11.22-4		Fabricação de refrigerantes e de outras bebidas não alcoólicas			
				1122-4/01	Fabricação de refrigerantes	Médio	Alto	Alto
				1122-4/02	Fabricação de chá mate e outros chás prontos para consumo	Médio	Alto	Alto
				1122-4/03	Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas	Médio	Alto	Alto
				1122-4/04	Fabricação de bebidas isotônicas	Médio	Alto	Alto
				1122-4/99	Fabricação de outras bebidas não alcoólicas não especificadas anteriormente	Médio	Alto	Alto
	12				FABRICAÇÃO DE PRODUTOS DO FUMO			
		12.1			Processamento industrial do fumo			
			12.10-7		Processamento industrial do fumo			
				1210-7/00	Processamento industrial do fumo	Alto	Alto	Alto
		12.2			Fabricação de produtos do fumo			
			12.20-4		Fabricação de produtos do fumo			
				1220-4/01	Fabricação de cigarros	Médio	Alto	Alto
				1220-4/02	Fabricação de cigarrilhas e charutos	Médio	Alto	Alto
				1220-4/03	Fabricação de filtros para cigarros	Médio	Alto	Alto
				1220-4/99	Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos	Médio	Alto	Alto
	13				FABRICAÇÃO DE PRODUTOS TÊXTEIS			
		13.1			Preparação e fiação de fibras têxteis			
			13.11-1		Preparação e fiação de fibras de algodão			
				1311-1/00	Preparação e fiação de fibras de algodão	Baixo	Alto	Alto
			13.12-0		Preparação e fiação de fibras têxteis naturais, exceto algodão			
				1312-0/00	Preparação e fiação de fibras têxteis naturais, exceto algodão	Baixo	Alto	Alto
			13.13-8		Fiação de fibras artificiais e sintéticas			
				1313-8/00	Fiação de fibras artificiais e sintéticas	Baixo	Médio	Alto
			13.14-6		Fabricação de linhas para costurar e bordar			
				1314-6/00	Fabricação de linhas para costurar e bordar	Médio	Alto	Alto
		13.2			Tecelagem, exceto malha			
			13.21-9		Tecelagem de fios de algodão			
				1321-9/00	Tecelagem de fios de algodão	Baixo	Médio	Alto
			13.22-7		Tecelagem de fios de fibras têxteis naturais, exceto algodão			
				1322-7/00	Tecelagem de fios de fibras têxteis naturais, exceto algodão	Baixo	Médio	Alto
			13.23-5		Tecelagem de fios de fibras artificiais e sintéticas			
				1323-5/00	Tecelagem de fios de fibras artificiais e sintéticas	Baixo	Médio	Alto
		13.3			Fabricação de tecidos de malha			
			13.30-8		Fabricação de tecidos de malha			
				1330-8/00	Fabricação de tecidos de malha	Médio	Alto	Alto
		13.4			Acabamentos em fios, tecidos e artefatos têxteis			
			13.40-5		Acabamentos em fios, tecidos e artefatos têxteis			
				1340-5/01	Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário	Baixo	Alto	Alto
				1340-5/02	Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário	Baixo	Alto	Alto
				1340-5/99	Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário	Baixo	Médio	Alto
		13.5			Fabricação de artefatos têxteis, exceto vestuário			
			13.51-1		Fabricação de artefatos têxteis para uso doméstico			
				1351-1/00	Fabricação de artefatos têxteis para uso doméstico	Médio	Alto	Alto
			13.52-9		Fabricação de artefatos de tapeçaria			
				1352-9/00	Fabricação de artefatos de tapeçaria	Médio	Alto	Alto
			13.53-7		Fabricação de artefatos de cordoaria			
				1353-7/00	Fabricação de artefatos de cordoaria	Médio	Alto	Alto
			13.54-5		Fabricação de tecidos especiais, inclusive artefatos			
				1354-5/00	Fabricação de tecidos especiais, inclusive artefatos	Médio	Alto	Alto
			13.59-6		Fabricação de outros produtos têxteis não especificados anteriormente			
				1359-6/00	Fabricação de outros produtos têxteis não especificados anteriormente	Médio	Alto	Alto
	14				CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS			
		14.1			Confecção de artigos do vestuário e acessórios			
			14.11-8		Confecção de roupas íntimas			
				1411-8/01	Confecção de roupas íntimas	Baixo	Médio	Alto
				1411-8/02	Facção de roupas íntimas	Baixo	Médio	Alto
			14.12-6		Confecção de peças do vestuário, exceto roupas íntimas			
				1412-6/01	Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida	Baixo	Médio	Alto
				1412-6/02	Confecção, sob medida, de peças do vestuário, exceto roupas íntimas	Baixo	Médio	Alto
				1412-6/03	Facção de peças do vestuário, exceto roupas íntimas	Baixo	Médio	Alto
			14.13-4		Confecção de roupas profissionais			
