codigo	divisao	denominacao	ate100	100a200	200a400	acima400	usoate100	uso100a200	uso200a400	usoacima400
01.33-4-07	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de maçã	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-08	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de mamão	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-09	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de maracujá	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-10	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de manga	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-11	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de pêssego	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de frutas de lavoura permanente não especificadas anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.34-2-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de café	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.35-1-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de cacau	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.39-3-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de chá-da-índia	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.39-3-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de erva-mate	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.39-3-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de pimenta-do-reino	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.39-3-04	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de plantas para condimento, exceto pimenta-do-reino	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.39-3-05	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de dendê	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.39-3-06	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de seringueira	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.39-3-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de outras plantas de lavoura permanente não especificadas anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.41-5-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Produção de sementes certificadas, exceto de forrageiras para pasto	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.41-5-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Produção de sementes certificadas de forrageiras para formação de pasto	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.42-3-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Produção de mudas e outras formas de propagação vegetal, certificadas	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.51-2-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de bovinos para corte	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.51-2-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de bovinos para leite	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.51-2-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de bovinos, exceto para corte e leite	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.52-1-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de bufalinos	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.52-1-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de equinos	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.52-1-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de asininos e muares	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.53-9-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de caprinos	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.53-9-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de ovinos, inclusive para produção de lã	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.54-7-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de suínos	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.55-5-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de frangos para corte	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.55-5-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Produção de pintos de um dia	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.55-5-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de outros galináceos, exceto para corte	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.55-5-04	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de aves, exceto galináceos	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.55-5-05	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Produção de ovos	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.59-8-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Apicultura	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.59-8-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de animais de estimação	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.59-8-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de escargô	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.59-8-04	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de bicho-da-seda	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.59-8-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Criação de outros animais não especificados anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.61-0-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Serviço de pulverização e controle de pragas agrícolas	Alto	Alto	Alto	Alto	CS1	CS2	CS2	CS3
01.63-6-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Atividades de pós-colheita	Alto	Alto	Alto	Alto	CS1	CS2	CS2	CS3
01.70-9-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Caça e serviços relacionados	Alto	Alto	Alto	Alto	CS1	CS2	CS2	CS3
01.61-0-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Serviço de poda de árvores para lavouras	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
01.61-0-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Serviço de preparação de terreno, cultivo e colheita	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
01.61-0-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Atividades de apoio à agricultura não especificadas anteriormente	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
01.62-8-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Serviço de inseminação artificial em animais	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
01.62-8-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Serviço de tosquiamento de ovinos	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
01.62-8-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Serviço de manejo de animais	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
01.62-8-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Atividades de apoio à pecuária não especificadas anteriormente	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
02.10-1-01	PRODUÇÃO FLORESTAL	Cultivo de eucalipto	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
02.10-1-02	PRODUÇÃO FLORESTAL	Cultivo de acácia-negra	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
02.10-1-03	PRODUÇÃO FLORESTAL	Cultivo de pinus	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
02.10-1-04	PRODUÇÃO FLORESTAL	Cultivo de teca	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
02.10-1-05	PRODUÇÃO FLORESTAL	Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
02.10-1-06	PRODUÇÃO FLORESTAL	Cultivo de mudas em viveiros florestais	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
02.10-1-07	PRODUÇÃO FLORESTAL	Extração de madeira em florestas plantadas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
02.10-1-08	PRODUÇÃO FLORESTAL	Produção de carvão vegetal - florestas plantadas	Alto	Alto	Alto	Alto	I4	I4	I4	I4
02.10-1-09	PRODUÇÃO FLORESTAL	Produção de casca de acácia-negra - florestas plantadas	Alto	Alto	Alto	Alto	I4	I4	I4	I4
02.10-1-99	PRODUÇÃO FLORESTAL	Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas	Alto	Alto	Alto	Alto	I1	I2	I2	I3
02.20-9-01	PRODUÇÃO FLORESTAL	Extração de madeira em florestas nativas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
02.20-9-02	PRODUÇÃO FLORESTAL	Produção de carvão vegetal - florestas nativas	Alto	Alto	Alto	Alto	I4	I4	I4	I4
02.20-9-03	PRODUÇÃO FLORESTAL	Coleta de castanha-do-pará em florestas nativas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
02.20-9-04	PRODUÇÃO FLORESTAL	Coleta de látex em florestas nativas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
02.20-9-05	PRODUÇÃO FLORESTAL	Coleta de palmito em florestas nativas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
02.20-9-06	PRODUÇÃO FLORESTAL	Conservação de florestas nativas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
02.20-9-99	PRODUÇÃO FLORESTAL	Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
02.30-6-00	PRODUÇÃO FLORESTAL	Atividades de apoio à produção florestal	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
03.11-6-01	PESCA E AQÜICULTURA	Pesca de peixes em água salgada	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.11-6-02	PESCA E AQÜICULTURA	Pesca de crustáceos e moluscos em água salgada	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.11-6-03	PESCA E AQÜICULTURA	Coleta de outros produtos marinhos	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.11-6-04	PESCA E AQÜICULTURA	Atividades de apoio à pesca em água salgada	Alto	Alto	Alto	Alto	CS1	CS2	CS2	CS3
03.12-4-01	PESCA E AQÜICULTURA	Pesca de peixes em água doce	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.12-4-02	PESCA E AQÜICULTURA	Pesca de crustáceos e moluscos em água doce	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.12-4-03	PESCA E AQÜICULTURA	Coleta de outros produtos aquáticos de água doce	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.21-3-01	PESCA E AQÜICULTURA	Criação de peixes em água salgada e salobra	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.21-3-02	PESCA E AQÜICULTURA	Criação de camarões em água salgada e salobra	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.21-3-03	PESCA E AQÜICULTURA	Criação de ostras e mexilhões em água salgada e salobra	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.21-3-04	PESCA E AQÜICULTURA	Criação de peixes ornamentais em água salgada e salobra	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.21-3-99	PESCA E AQÜICULTURA	Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.22-1-01	PESCA E AQÜICULTURA	Criação de peixes em água doce	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.22-1-02	PESCA E AQÜICULTURA	Criação de camarões em água doce	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.22-1-03	PESCA E AQÜICULTURA	Criação de ostras e mexilhões em água doce	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.22-1-04	PESCA E AQÜICULTURA	Criação de peixes ornamentais em água doce	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.22-1-05	PESCA E AQÜICULTURA	Ranicultura	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.22-1-06	PESCA E AQÜICULTURA	Criação de jacaré	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.22-1-99	PESCA E AQÜICULTURA	Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
03.12-4-04	PESCA E AQÜICULTURA	Atividades de apoio à pesca em água doce	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
03.21-3-05	PESCA E AQÜICULTURA	Atividades de apoio à aquicultura em água salgada e salobra	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
03.22-1-07	PESCA E AQÜICULTURA	Atividades de apoio à aquicultura em água doce	Baixo	Baixo	Médio	Alto	CS1	CS2	CS2	CS3
05.00-3-01	EXTRAÇÃO DE CARVÃO MINERAL	Extração de carvão mineral	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
05.00-3-02	EXTRAÇÃO DE CARVÃO MINERAL	Beneficiamento de carvão mineral	Alto	Alto	Alto	Alto	I4	I4	I4	I4
06.00-0-01	EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL	Extração de petróleo e gás natural	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
06.00-0-02	EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL	Extração e beneficiamento de xisto	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
06.00-0-03	EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL	Extração e beneficiamento de areias betuminosas	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.10-3-01	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minério de ferro	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.10-3-02	EXTRAÇÃO DE MINERAIS METÁLICOS	Pelotização, sinterização e outros beneficiamentos de minério de ferro	Alto	Alto	Alto	Alto	I4	I4	I4	I4
07.21-9-01	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minério de alumínio	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.21-9-02	EXTRAÇÃO DE MINERAIS METÁLICOS	Beneficiamento de minério de alumínio	Alto	Alto	Alto	Alto	I4	I4	I4	I4
07.22-7-01	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minério de estanho	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.22-7-02	EXTRAÇÃO DE MINERAIS METÁLICOS	Beneficiamento de minério de estanho	Alto	Alto	Alto	Alto	I4	I4	I4	I4
07.23-5-01	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minério de manganês	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.23-5-02	EXTRAÇÃO DE MINERAIS METÁLICOS	Beneficiamento de minério de manganês	Alto	Alto	Alto	Alto	I4	I4	I4	I4
07.24-3-01	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minério de metais preciosos	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.24-3-02	EXTRAÇÃO DE MINERAIS METÁLICOS	Beneficiamento de minério de metais preciosos	Alto	Alto	Alto	Alto	I4	I4	I4	I4
07.25-1-00	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minerais radioativos	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.29-4-01	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minérios de nióbio e titânio	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.29-4-02	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minério de tungstênio	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.29-4-03	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minério de níquel	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.29-4-04	EXTRAÇÃO DE MINERAIS METÁLICOS	Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
07.29-4-05	EXTRAÇÃO DE MINERAIS METÁLICOS	Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente	Alto	Alto	Alto	Alto	I4	I4	I4	I4
08.10-0-01	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de ardósia e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-02	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de granito e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-03	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de mármore e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-04	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de calcário e dolomita e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-05	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de gesso e caulim	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-06	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de areia, cascalho ou pedregulho e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-07	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de argila e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-08	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de saibro e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-09	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de bas e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.10-0-10	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Beneficiamento de gesso e caulim associado à extração	Alto	Alto	Alto	Alto	I4	I4	I4	I4
08.10-0-99	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração e britamento de pedras e outros materiais para construção e beneficiamento associado	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.91-6-00	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.92-4-01	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de sal marinho	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.92-4-02	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de sal-gema	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.92-4-03	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Refino e outros tratamentos do sal	Alto	Alto	Alto	Alto	I1	I2	I2	I3
08.93-2-00	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de gemas (pedras preciosas e semipreciosas)	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.99-1-01	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de grafita	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.99-1-02	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de quartzo	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
08.99-1-03	EXTRAÇÃO DE MINERAIS NÃO METÁLICOS	Extração de amianto	Alto	Alto	Alto	Alto	CSMV	CSMV	CSMV	CSMV
